Summary_file = referenc.sum
Title = 
      year       day             no3(1)             no3(2)             no3(3)          sw_dep(1)          sw_dep(2)          sw_dep(3)       tt_tot()            lai        biomass avg@mungbean_swdef_photo avg@mungbean_nfact_photo   plant_status      dm_dead()          yield     residue_wt      residue_n        fom_c()        fom_n()        node_no        leaf_no    dlt_leaf_no    dlt_node_no             rlv(1)             rlv(2)             rlv(3)  root_length()    dm_green(1)         height sum@mungbean_dlt_n_fixed_pot sum@mungbean_dlt_n_fixed sum@mungbean_n_supply_soil    n_conc_crit       n_demand    n_conc_crit        root_wt         root_n     root_depth
    (year)     (day)            (kg/ha)            (kg/ha)            (kg/ha)               (mm)               (mm)               (mm)           (oC)      (m^2/m^2)        (kg/ha)                      (?)                      (?)             ()        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()           (mm/mm3)           (mm/mm3)           (mm/mm3)       (mm/mm2)        (g/m^2)           (mm)                          (?)                      (?)                        (?)            (%)        (g/m^2)            (%)        (g/m^2)        (g/m^2)           (mm)
      1992        99              0.708              9.370              8.114             33.014             79.817             76.715          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2390.405         42.398        413.547         15.568          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       106              0.646              9.742              8.353             37.228             80.038             78.763          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1543.381         27.374        331.226         12.428          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       113              1.436             10.361              8.433             35.491             79.714             79.385          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        905.363         16.058        269.333         10.079          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       120              2.490             10.900              8.492             30.836             79.037             79.780          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        555.697          9.856        231.084          8.632          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       127              3.888             11.564              8.533             31.436             79.126             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        364.516          6.465        199.492          7.439          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       134              5.439             12.286              8.544             34.920             79.326             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        224.466          3.981        174.006          6.479          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       141              6.594             12.821              8.554             34.811             79.222             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        156.908          2.783        158.246          5.885          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       148              7.692             13.432              8.565             38.045             79.491             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        122.940          2.181        144.905          5.383          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       155              9.009             13.967              8.577             33.146             79.148             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         92.765          1.645        132.566          4.919          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       162              9.997             14.579              8.589             35.988             79.427             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         80.484          1.428        123.017          4.560          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       169             10.882             14.989              8.599             32.504             79.160             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         67.046          1.189        116.007          4.296          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       176             11.758             15.603              8.610             36.445             79.453             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         55.817          0.990        108.755          4.024          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       183             12.693             16.034              8.621             32.366             79.147             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         47.499          0.842        102.650          3.795          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       190             13.781             16.781              8.633             38.145             79.487             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         37.273          0.661         95.351          3.521          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       197             14.692             17.177              8.644             30.422             79.101             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         33.662          0.597         90.439          3.337          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       204             15.448             17.849              8.654             38.152             79.464             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         27.692          0.491         85.553          3.153          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       211             16.537             18.295              8.665             29.967             79.033             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         23.381          0.415         80.775          2.974          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       218             17.843             19.099              8.679             31.534             79.167             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         16.729          0.297         74.897          2.754          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       225             19.082             19.848              8.691             31.078             79.211             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         12.311          0.218         69.806          2.564          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       232             20.118             20.746              8.703             37.018             79.548             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          9.770          0.173         65.339          2.397          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       239             21.146             21.379              8.714             33.696             79.434             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          8.191          0.145         61.795          2.265          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       246             21.939             22.095              8.724             38.766             79.610             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          6.248          0.111         58.838          2.154          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       253             23.165             22.749              8.735             32.364             79.361             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          4.372          0.078         55.568          2.032          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       260             24.603             23.543              8.748             29.811             79.189             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          3.301          0.059         52.004          1.900          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       267             25.602             24.466              8.759             29.967             79.331             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          2.416          0.043         49.172          1.794          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       274             27.390             25.495              8.773             29.748             79.253             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          1.521          0.027         45.559          1.660          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       281             28.671             26.537              8.785             29.601             79.399             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          1.018          0.018         42.823          1.559          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       288             30.230             27.608              8.798             29.606             79.394             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.607          0.011         40.061          1.456          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       295             31.784             28.693              8.812             29.616             79.384             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.383          0.007         37.577          1.364          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       302             33.138             30.025              8.825             35.156             79.570             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.221          0.004         35.320          1.281          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       309             34.936             31.180              8.839             30.628             79.433             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.120          0.002         33.075          1.198          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       316             36.525             32.342              8.852             29.647             79.353             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.073          0.001         31.175          1.129          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       323             37.868             33.827              8.866             33.936             79.557             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         29.410          1.064          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       330             40.105             35.229              8.882             29.648             79.352             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         27.404          0.991          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       337             41.826             36.999              8.898             33.297             79.520             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         25.610          0.925          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       344             43.703             38.403              8.913             29.628             79.373             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         24.075          0.869          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       351             45.221             40.270              8.928             36.900             79.610             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         22.617          0.816          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       358             46.524             41.597              8.941             32.126             79.543             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         21.533          0.777          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1992       365             48.424             43.569              8.959             34.690             79.624             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         20.143          0.726          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993         6             50.536             45.203              8.976             31.066             79.435             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          0.000          0.000         18.835          0.679          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993        10              1.000              1.000              1.000             30.000             60.000             40.000          0.000          0.000          0.000                    0.000                    0.000          alive          0.000          0.000          0.000          0.000         18.364          0.662          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993        17              2.949              2.921              2.622             32.010             80.469             74.077        131.757          0.019         45.383                    0.750                    0.625          alive          0.000          0.000          0.000          0.000         17.837          0.633          2.071          2.071          0.020          0.020              0.002              0.000              0.000          0.500          8.334          1.019                        0.064                    0.025                      0.002          5.641          0.007          5.641          8.334          0.125        250.000
      1993        24              4.650              4.061              2.908             27.881             79.369             78.435        242.930          0.095         81.471                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         17.686          0.613          2.544          2.544          0.136          0.136              0.003              0.000              0.000          0.696         11.600          8.289                        0.129                    0.127                      0.062          5.063          0.073          5.063         11.600          0.169        460.000
      1993        31              4.577              3.791              2.945             36.426             78.523             79.078        356.060          0.359        212.446                    1.000                    1.000          alive          0.000          0.000          0.000          0.000         18.024          0.604          3.588          4.099          0.368          0.170              0.005              0.001              0.000          1.445         24.089         38.515                        0.297                    0.297                      0.388          4.475          0.231          4.475         24.089          0.341        640.000
      1993        38              1.957              1.561              2.186             36.228             76.500             78.547        460.805          0.913        559.788                    0.947                    1.000          alive          0.000          0.000          0.000          0.000         20.677          0.641          4.636          7.279          0.579          0.167              0.014              0.001              0.000          3.439         57.322        124.334                        0.849                    0.849                      0.924          3.930          0.340          3.930         57.322          0.835        745.000
      1993        45              0.916              0.692              0.926             35.915             74.883             76.566        576.136          1.675       1143.500                    0.840                    1.000          alive          0.000          0.000          0.000          0.000         27.691          0.769          5.789         11.876          0.730          0.174              0.028              0.002              0.000          6.755        112.589        272.398                        1.830                    1.830                      0.619          3.330          0.482          3.330        112.589          1.658        850.000
      1993        52              0.974              0.895              0.469             37.155             76.042             73.957        686.236          2.478       1797.759                    0.829                    1.000          alive          0.000          0.000          0.000          0.000         38.960          0.983          6.890         16.470          0.653          0.156              0.037              0.003              0.001          8.852        147.539        436.113                        2.076                    1.639                      0.298          2.922          0.445          2.922        147.539          2.210        965.000
      1993        59              0.856              0.793              0.137             38.412             77.620             72.340        798.839          2.986       2481.547                    0.809                    1.000          alive          0.000          0.000          0.000          0.000         49.479          1.183          8.004         19.053          0.170          0.170              0.042              0.003              0.001          9.875        164.581        598.810                        1.442                    1.442                      0.320          2.734          0.252          2.734        164.581          2.473       1000.000
      1993        66              0.478              0.503              0.038             41.482             78.620             72.215        903.813          3.177       3315.094                    0.754                    1.000          alive          0.000        225.426          0.000          0.000         59.784          1.379          8.822         20.402          0.074          0.074              0.044              0.003              0.001         10.469        174.480        751.849                        1.121                    1.121                      0.325          2.559          0.928          2.559        174.480          2.603       1000.000
      1993        73              0.455              0.433              0.018             37.469             77.149             72.072       1004.526          2.772       4088.499                    0.756                    0.893          alive          0.000        764.549          0.000          0.000         68.658          1.547          9.007         20.587          0.000          0.000              0.044              0.003              0.001         10.504        175.064        789.014                        0.707                    0.707                      0.243          2.391          2.119          2.391        175.064          2.581       1000.000
      1993        80              0.450              0.442              0.013             42.175             79.262             72.534       1117.143          2.292       4709.924                    1.000                    0.592          alive          0.000       1441.237          0.000          0.000         76.655          1.700          9.007         20.587          0.000          0.000              0.044              0.003              0.001         10.459        174.324        789.014                        0.814                    0.814                      0.221          2.203          2.506          2.203        174.324          2.559       1000.000
      1993        87              0.437              0.405              0.013             39.622             79.873             74.533       1217.983          1.796       5059.585                    1.000                    0.443          alive          0.000       2023.834          0.000          0.000         83.934          1.838          9.007         20.587          0.000          0.000              0.043              0.003              0.001         10.259        170.988        789.014                        0.748                    0.748                      0.211          2.035          1.750          2.035        170.988          2.534       1000.000
      1993        90              0.612              0.544              0.013             41.805             80.428             74.893       1251.033          0.008          0.000                    1.000                    0.128          alive          0.000          0.000       3087.790         36.794         86.506          1.887          2.000          2.000          0.000          0.000              0.042              0.003              0.001         10.106        151.592          1.000                        0.000                    0.000                      0.057          0.000          0.000          0.000        151.592          2.380       1000.000
      1993        91              0.412              0.675              0.019             37.399             80.459             75.690       1263.899          0.000          0.000                    1.000                    0.000            out        151.592          0.000       3022.263         36.013        690.561         25.637          2.000          2.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          1.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000       1000.000
      1993        98              0.151              1.429              0.015             30.527             79.616             78.205          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2869.425         34.192        554.661         20.517          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       105              0.112              2.184              0.024             37.499             79.930             79.232          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2737.265         32.617        444.116         16.375          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       112              0.128              2.903              0.037             34.078             79.546             79.675          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2609.475         31.094        360.312         13.251          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       119              0.143              3.612              0.053             35.339             79.340             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2452.067         29.219        301.952         11.084          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       126              0.133              4.292              0.059             38.457             79.511             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2278.563         27.151        259.825          9.524          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       133              0.162              4.988              0.069             32.798             79.161             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       2090.444         24.909        225.043          8.238          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       140              0.116              5.610              0.081             36.529             79.436             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1896.028         22.593        199.446          7.292          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       147              0.116              6.176              0.093             38.400             79.571             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1719.995         20.495        179.778          6.566          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       154              0.112              6.729              0.106             36.620             79.448             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1541.154         18.364        163.263          5.957          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       161              0.068              7.127              0.117             32.383             79.174             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1389.579         16.558        152.457          5.558          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       168              0.081              7.552              0.129             37.969             79.472             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1244.821         14.833        142.175          5.179          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       175              0.186              8.011              0.142             32.929             79.140             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000       1083.748         12.914        131.622          4.790          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       182              0.098              8.419              0.155             35.956             79.419             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        914.283         10.894        123.215          4.481          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       189              0.120              8.875              0.168             32.519             79.092             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        728.705          8.683        114.384          4.156          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       196              0.104              9.290              0.181             32.574             79.162             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        550.164          6.556        107.348          3.897          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       203              0.528              9.709              0.194             36.743             79.465             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        427.469          5.094        100.463          3.643          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       210              1.048             10.157              0.208             38.135             79.532             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        314.527          3.748         93.604          3.391          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       217              1.834             10.539              0.220             30.445             79.138             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        258.645          3.082         88.008          3.186          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       224              2.739             10.961              0.233             36.092             79.530             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        210.486          2.508         83.011          3.002          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       231              3.989             11.446              0.246             33.568             79.440             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        167.168          1.992         77.558          2.802          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       238              5.319             11.926              0.260             32.145             79.256             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000        126.007          1.501         72.647          2.622          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       245              6.552             12.460              0.273             35.857             79.406             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         81.380          0.970         68.297          2.463          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       252              7.761             12.963              0.285             35.482             79.419             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         61.667          0.735         64.625          2.328          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       259              9.231             13.521              0.298             30.247             79.370             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         45.576          0.543         60.863          2.191          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       266             11.088             14.222              0.313             34.429             79.389             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         29.810          0.355         56.777          2.042          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       273             12.451             14.834              0.325             31.036             79.416             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         20.219          0.241         53.865          1.935          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       280             13.970             15.545              0.337             34.515             79.554             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000         13.664          0.163         50.936          1.829          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       287             16.205             16.402              0.353             32.118             79.420             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          8.357          0.100         47.443          1.701          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       294             18.000             17.298              0.367             35.005             79.543             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          5.128          0.061         44.641          1.600          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       301             20.012             18.168              0.382             29.619             79.381             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          3.039          0.036         41.988          1.503          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
      1993       308             22.004             19.302              0.397             33.172             79.569             80.000          0.000          0.000          0.000                    0.000                    0.000            out          0.000          0.000          1.754          0.021         39.353          1.408          0.000          0.000          0.000          0.000              0.000              0.000              0.000          0.000          0.000          0.000                        0.000                    0.000                      0.000          0.000          0.000          0.000          0.000          0.000          0.000
