APSIM output file, version = 5.4
Title = barley SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep       dm_green       dm_green    LeafGreenWt       dm_green    StemGreenWt       dm_green     podGreenWt       dm_green    mealGreenWt       dm_green     oilGreenWt dlt_dm_green_retrans(1) dlt_dm_green_retrans(2) dlt_dm_green_retrans(3) dlt_dm_green_retrans(4) dlt_dm_green_retrans(5) dlt_dm_green_retrans(6)    dm_senesced dm_plant_min(1) dm_plant_min(2) dm_plant_min(3) dm_plant_min(4) dm_plant_min(5) dm_plant_min(6)   dlt_dm_green   dlt_dm_green dlt_dm_green_leaf   dlt_dm_green dlt_dm_green_stem   dlt_dm_green dlt_dm_green_pod   dlt_dm_green dlt_dm_green_meal   dlt_dm_green dlt_dm_green_oil dlt_dm_green_retrans(1) dlt_dm_green_retrans(2) dlt_dm_green_retrans(3) dlt_dm_green_retrans(4) dlt_dm_green_retrans(5) dlt_dm_green_retrans(6) dlt_dm_detached dlt_dm_senesced       grain_no     grain_size         pod_wt       grain_wt        meal_wt         oil_wt        head_wt          yield        n_green        n_green     LeafGreenN        n_green     StemGreenN        n_green      podGreenN        n_green     mealGreenN        n_green      oilGreenN    FruitGreenN     n_senesced     n_senesced n_senesced_leaf     n_senesced n_senesced_stem     n_senesced n_senesced_pod     n_senesced n_senesced_meal     n_senesced n_senesced_oil n_senesced_fruit    dlt_n_green    dlt_n_green dlt_n_green_leaf    dlt_n_green dlt_n_green_stem    dlt_n_green dlt_n_green_pod    dlt_n_green dlt_n_green_meal    dlt_n_green dlt_n_green_oil dlt_n_green_fruit  dlt_n_retrans  dlt_n_retrans dlt_n_retrans_leaf  dlt_n_retrans dlt_n_retrans_stem  dlt_n_retrans dlt_n_retrans_pod  dlt_n_retrans dlt_n_retrans_meal  dlt_n_retrans dlt_n_retrans_oil dlt_n_retrans_fruit dlt_n_senesced_trans dlt_n_senesced_trans dlt_n_senesced_trans_leaf dlt_n_senesced_trans dlt_n_senesced_trans_stem dlt_n_senesced_trans dlt_n_senesced_trans_pod dlt_n_senesced_trans dlt_n_senesced_trans_meal dlt_n_senesced_trans dlt_n_senesced_trans_oil dlt_n_senesced_trans_fruit dlt_n_senesced_retrans dlt_n_senesced_retrans dlt_n_senesced_retrans_leaf dlt_n_senesced_retrans dlt_n_senesced_retrans_stem dlt_n_senesced_retrans dlt_n_senesced_retrans_pod dlt_n_senesced_retrans dlt_n_senesced_retrans_meal dlt_n_senesced_retrans dlt_n_senesced_retrans_oil dlt_n_senesced_retrans_fruit dlt_n_senesced dlt_n_senesced dlt_n_senesced_leaf dlt_n_senesced dlt_n_senesced_stem dlt_n_senesced dlt_n_senesced_pod dlt_n_senesced dlt_n_senesced_meal dlt_n_senesced dlt_n_senesced_oil dlt_n_senesced_fruit       n_demand  n_demanded(1)  n_demanded(2)  n_demand_leaf  n_demanded(3)  n_demand_stem  n_demanded(4)   n_demand_pod  n_demanded(5)  n_demand_meal  n_demanded(6)   n_demand_oil n_demand_fruit    nfact_grain
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)        (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)          (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)                 (g/m^2)         (g/m^2)         (g/m^2)         (/m^2)            (g)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)         (g/m^2)        (g/m^2)          (g/m^2)        (g/m^2)         (g/m^2)           (g/m^2)        (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)           (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)           (g/m^2)             (g/m^2)              (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                  (g/m^2)              (g/m^2)                   (g/m^2)              (g/m^2)                  (g/m^2)                    (g/m^2)                (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                    (g/m^2)                (g/m^2)                     (g/m^2)                (g/m^2)                    (g/m^2)                      (g/m^2)        (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)        (g/m^2)             (g/m^2)        (g/m^2)            (g/m^2)              (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()
     01/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     02/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     03/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     04/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     05/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     06/11/1988          0.600              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     07/11/1988          4.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     08/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     09/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     10/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     11/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     12/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     13/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     14/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     15/11/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
     16/11/1988         17.000              0          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000          0.000           0.000           0.000           0.000           0.000           0.000           0.000          0.000          0.000             0.000          0.000             0.000          0.000            0.000          0.000             0.000          0.000            0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000           0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.341          0.000          0.000           0.000          0.000           0.000          0.000          0.000          0.000           0.000          0.000          0.000            0.000          0.000          0.000            0.000          0.000            0.000          0.000           0.000          0.000            0.000          0.000           0.000             0.000          0.000          0.000              0.000          0.000              0.000          0.000             0.000          0.000              0.000          0.000             0.000               0.000                0.000                0.000                     0.000                0.000                     0.000                0.000                    0.000                0.000                     0.000                0.000                    0.000                      0.000                  0.000                  0.000                       0.000                  0.000                       0.000                  0.000                      0.000                  0.000                       0.000                  0.000                      0.000                        0.000          0.000          0.000               0.000          0.000               0.000          0.000              0.000          0.000               0.000          0.000              0.000                0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.000
