ApsimVersion = 5.4
Title = Ghab2_W0_9900
           year            day            das tt_since_emerg          stage            lai     biomass_wt       grain_wt    LeafGreenWt    StemGreenWt      biomass_n        grain_n     root_depth     StemGreenN    sw(1-10)(1)    sw(1-10)(2)    sw(1-10)(3)    sw(1-10)(4)    sw(1-10)(5)    sw(1-10)(6)    sw(1-10)(7)    sw(1-10)(8)    sw(1-10)(9)   sw(1-10)(10) no3ppm(1-6)(1) no3ppm(1-6)(2) no3ppm(1-6)(3) no3ppm(1-6)(4) no3ppm(1-6)(5) no3ppm(1-6)(6) nh4ppm(1-6)(1) nh4ppm(1-6)(2) nh4ppm(1-6)(3) nh4ppm(1-6)(4) nh4ppm(1-6)(5) nh4ppm(1-6)(6) LeafGreennconc StemGreennconc   n_conc_grain
         (year)          (day)            (d)            (?)             ()      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)        (mg/kg)            (%)            (%)            (%)
           2000             19             29          0.000          2.543          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.282          0.260          0.152          0.195          0.236          0.262          0.275          0.288          0.298          0.302          3.581          6.341          3.147          5.223          5.345          5.566          2.174          3.760          3.270          0.710          0.056          0.039          0.000          0.000          0.000
           2000             20             30          0.000          2.601          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.269          0.263          0.159          0.195          0.236          0.262          0.275          0.288          0.298          0.302          3.527          6.431          3.309          5.258          5.348          5.566          2.064          3.625          3.270          0.676          0.053          0.036          0.000          0.000          0.000
           2000             21             31          0.000          2.626          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.260          0.257          0.164          0.195          0.236          0.262          0.275          0.288          0.298          0.302          3.598          6.437          3.537          5.293          5.351          5.567          1.957          3.496          3.169          0.643          0.049          0.034          0.000          0.000          0.000
           2000             22             32          0.000          2.649          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.302          0.283          0.177          0.195          0.236          0.262          0.275          0.288          0.298          0.302          3.254          6.594          3.991          5.328          5.353          5.567          1.864          3.381          3.036          0.611          0.047          0.031          0.000          0.000          0.000
           2000             23             33          0.000          2.681          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.317          0.291          0.199          0.196          0.236          0.262          0.275          0.288          0.298          0.302          3.028          6.433          4.633          5.365          5.356          5.567          1.774          3.269          2.910          0.580          0.044          0.029          0.000          0.000          0.000
           2000             24             34          0.000          2.734          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.301          0.281          0.219          0.196          0.236          0.262          0.275          0.288          0.298          0.302          2.977          6.187          5.183          5.407          5.358          5.567          1.688          3.162          2.791          0.552          0.042          0.027          0.000          0.000          0.000
           2000             25             35          0.000          2.790          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.314          0.280          0.248          0.198          0.236          0.262          0.275          0.288          0.297          0.302          2.774          5.836          5.921          5.468          5.359          5.567          1.610          3.062          2.683          0.526          0.039          0.026          0.000          0.000          0.000
           2000             26             36          0.000          2.854          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.291          0.273          0.263          0.200          0.236          0.262          0.275          0.288          0.297          0.302          2.726          5.676          6.349          5.550          5.362          5.567          1.522          2.951          2.567          0.498          0.037          0.024          0.000          0.000          0.000
           2000             27             37          0.000          2.883          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.286          0.275          0.272          0.203          0.236          0.262          0.275          0.288          0.297          0.302          2.666          5.660          6.627          5.648          5.364          5.566          1.436          2.843          2.455          0.472          0.035          0.022          0.000          0.000          0.000
           2000             28             38          0.000          2.918          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.274          0.273          0.272          0.206          0.236          0.262          0.275          0.288          0.297          0.302          2.700          5.729          6.742          5.745          5.366          5.566          1.347          2.732          2.342          0.446          0.033          0.021          0.000          0.000          0.000
           2000             29             39          0.000          2.959          0.000           0.00           0.00           0.00           0.00           0.00           0.00        150.000           0.00          0.266          0.270          0.270          0.209          0.236          0.262          0.275          0.288          0.297          0.302          2.823          5.779          6.797          5.838          5.368          5.566          1.259          2.623          2.233          0.422          0.031          0.019          0.000          0.000          0.000
           2000             30             40          6.097          3.000          0.005          10.00           0.00          10.00           0.00           0.60           0.00        150.000           0.00          0.259          0.265          0.266          0.211          0.236          0.262          0.275          0.288          0.297          0.302          3.023          5.790          6.817          5.922          5.371          5.565          1.174          2.519          2.129          0.398          0.029          0.018          6.000          0.000          0.000
           2000             31             41         12.697          3.010          0.005          10.01           0.00          10.00           0.01           0.60           0.00        167.000           0.00          0.252          0.259          0.262          0.213          0.236          0.262          0.275          0.288          0.297          0.302          3.259          5.776          6.820          5.998          5.373          5.564          1.091          2.421          2.030          0.377          0.027          0.016          5.999          0.000          0.000
           2000             32             42         20.697          3.021          0.005          10.02           0.00          10.01           0.01           0.60           0.00        184.000           0.00          0.248          0.255          0.259          0.215          0.236          0.261          0.275          0.288          0.297          0.302          3.435          5.824          6.849          6.069          5.376          5.564          0.995          2.310          1.923          0.353          0.026          0.015          5.997          3.084          0.000
           2000             33             43         27.218          3.030          0.006          10.03           0.00          10.01           0.02           0.60           0.00        201.000           0.00          0.238          0.250          0.256          0.217          0.236          0.261          0.275          0.288          0.297          0.302          3.642          5.859          6.885          6.136          5.379          5.563          0.890          2.191          1.809          0.330          0.024          0.014          5.994          4.057          0.000
           2000             34             44         33.632          3.040          0.006          10.04           0.00          10.02           0.03           0.60           0.00        218.000           0.00          0.229          0.246          0.253          0.219          0.237          0.261          0.275          0.288          0.297          0.302          3.841          5.895          6.922          6.197          5.382          5.563          0.791          2.075          1.700          0.307          0.022          0.013          5.991          4.524          0.000
           2000             35             45         39.719          3.048          0.006          10.05           0.00          10.02           0.03           0.60           0.00        235.000           0.00          0.227          0.243          0.250          0.220          0.237          0.261          0.275          0.288          0.297          0.302          4.006          5.949          6.960          6.252          5.386          5.562          0.696          1.965          1.596          0.286          0.021          0.012          5.988          4.822          0.000
           2000             36             46         45.469          3.057          0.006          10.06           0.00          10.02           0.04           0.60           0.00        252.000           0.00          0.258          0.255          0.251          0.221          0.237          0.261          0.275          0.288          0.297          0.302          3.824          6.195          7.075          6.307          5.389          5.561          0.612          1.871          1.507          0.268          0.019          0.011          5.987          5.174          0.000
           2000             37             47         52.469          3.067          0.007          10.07           0.00          10.03           0.04           0.60           0.00        269.000           0.00          0.252          0.254          0.252          0.222          0.237          0.261          0.275          0.287          0.297          0.302          3.847          6.255          7.160          6.359          5.392          5.560          0.540          1.788          1.430          0.253          0.018          0.010          5.985          5.252          0.000
           2000             38             48         57.543          3.074          0.007          10.08           0.00           9.55           0.05           0.60           0.00        286.000           0.02          0.241          0.249          0.251          0.224          0.237          0.261          0.275          0.287          0.297          0.302          3.998          6.220          7.205          6.407          5.395          5.559          0.475          1.715          1.360          0.239          0.017          0.009          5.983         52.009          0.000
           2000             39             49         62.980          3.082          0.007          10.09           0.00           9.55           0.05           0.60           0.00        303.000           0.02          0.235          0.245          0.249          0.225          0.237          0.261          0.275          0.287          0.297          0.301          4.132          6.209          7.231          6.451          5.398          5.558          0.416          1.647          1.296          0.226          0.016          0.008          5.980         45.676          0.000
           2000             40             50         68.646          3.090          0.007          10.10           0.00           9.09           0.06           0.60           0.00        320.000           0.04          0.231          0.242          0.247          0.226          0.237          0.261          0.275          0.287          0.296          0.301          4.250          6.214          7.249          6.491          5.401          5.557          0.361          1.583          1.236          0.214          0.015          0.008          5.978         75.363          0.000
           2000             41             51         75.141          3.099          0.007          10.11           0.00           9.10           0.07           0.60           0.00        337.000           0.04          0.227          0.240          0.246          0.227          0.237          0.261          0.275          0.287          0.296          0.301          4.360          6.234          7.270          6.528          5.405          5.556          0.303          1.514          1.172          0.202          0.014          0.007          5.975         66.093          0.000
           2000             42             52         82.291          3.109          0.007          10.13           0.00           9.11           0.08           0.60           0.00        354.000           0.04          0.224          0.238          0.244          0.228          0.237          0.261          0.275          0.287          0.296          0.301          4.464          6.265          7.296          6.564          5.408          5.555          0.241          1.441          1.107          0.189          0.013          0.007          5.972         57.609          0.000
           2000             43             53         90.119          3.120          0.008          10.15           0.00           9.11           0.09           0.60           0.00        371.000           0.04          0.221          0.235          0.243          0.228          0.237          0.261          0.275          0.287          0.296          0.301          4.562          6.305          7.325          6.597          5.412          5.554          0.178          1.365          1.039          0.177          0.012          0.006          5.968         49.883          0.000
           2000             44             54         99.069          3.133          0.008          10.17           0.00           9.12           0.10           0.60           0.00        388.000           0.04          0.218          0.233          0.241          0.229          0.238          0.261          0.275          0.287          0.296          0.301          4.654          6.350          7.355          6.627          5.416          5.553          0.115          1.289          0.973          0.164          0.012          0.005          5.964         44.182          0.000
           2000             45             55        107.219          3.145          0.009          10.19           0.00           9.13           0.11           0.60           0.00        405.000           0.04          0.238          0.236          0.240          0.229          0.238          0.261          0.275          0.287          0.296          0.301          4.609          6.496          7.403          6.656          5.419          5.552          0.044          1.214          0.907          0.153          0.011          0.005          5.961         39.401          0.000
           2000             46             56        114.069          3.155          0.009          10.19           0.00           9.13           0.12           0.60           0.00        422.000           0.04          0.260          0.254          0.244          0.230          0.238          0.261          0.275          0.287          0.296          0.301          4.241          6.789          7.552          6.687          5.423          5.551          0.000          1.150          0.852          0.143          0.010          0.004          5.959         38.316          0.000
           2000             47             57        121.069          3.165          0.009          10.20           0.00           9.14           0.12           0.60           0.00        439.000           0.04          0.271          0.263          0.250          0.231          0.238          0.261          0.275          0.287          0.296          0.301          3.958          6.874          7.765          6.726          5.427          5.550          0.000          1.096          0.805          0.134          0.010          0.004          5.958         37.076          0.000
           2000             48             58        129.519          3.177          0.010          10.23           0.00           9.15           0.14           0.60           0.00        455.045           0.04          0.256          0.257          0.252          0.232          0.238          0.261          0.275          0.287          0.296          0.301          3.991          6.788          7.856          6.767          5.431          5.549          0.000          1.047          0.763          0.127          0.009          0.004          5.952         32.590          0.000
           2000             49             59        136.569          3.187          0.010          10.25           0.00           9.15           0.15           0.60           0.00        470.090           0.04          0.248          0.252          0.252          0.233          0.238          0.261          0.275          0.287          0.296          0.301          4.059          6.720          7.891          6.806          5.435          5.548          0.000          1.003          0.725          0.120          0.009          0.003          5.949         30.239          0.000
           2000             50             60        144.869          3.199          0.011          10.27           0.00           9.16           0.16           0.60           0.00        484.281           0.04          0.250          0.252          0.252          0.234          0.239          0.261          0.275          0.287          0.296          0.301          4.015          6.755          7.920          6.842          5.439          5.547          0.000          0.964          0.691          0.114          0.008          0.003          5.944         27.471          0.000
           2000             51             61        155.719          3.214          0.012          10.31           0.00           9.18           0.19           0.60           0.00        497.604           0.04          0.239          0.248          0.251          0.235          0.239          0.261          0.275          0.287          0.296          0.301          4.088          6.709          7.930          6.877          5.443          5.546          0.000          0.920          0.654          0.107          0.008          0.003          5.935         23.852          0.000
           2000             52             62        164.269          3.226          0.013          10.35           0.00           9.19           0.21           0.60           0.00        510.059           0.04          0.233          0.244          0.249          0.236          0.239          0.261          0.275          0.287          0.296          0.301          4.153          6.687          7.932          6.908          5.448          5.545          0.000          0.872          0.614          0.101          0.007          0.003          5.929         21.472          0.000
           2000             53             63        172.919          3.239          0.013          10.37           0.00           9.20           0.22           0.60           0.00        521.667           0.04          0.243          0.245          0.248          0.236          0.239          0.261          0.275          0.287          0.296          0.301          4.083          6.766          7.949          6.936          5.452          5.543          0.000          0.828          0.577          0.094          0.007          0.002          5.924         20.205          0.000
           2000             54             64        181.419          3.251          0.014          10.39           0.00           9.21           0.24           0.60           0.00        532.462           0.04          0.240          0.244          0.247          0.237          0.239          0.261          0.275          0.287          0.296          0.301          4.058          6.803          7.965          6.961          5.457          5.542          0.000          0.788          0.544          0.089          0.006          0.002          5.920         19.068          0.000
           2000             55             65        189.669          3.263          0.014          10.41           0.00           9.22           0.25           0.60           0.00        542.484           0.04          0.241          0.244          0.247          0.238          0.239          0.261          0.275          0.287          0.296          0.301          4.010          6.852          7.983          6.984          5.462          5.541          0.000          0.752          0.514          0.084          0.006          0.002          5.916         18.232          0.000
           2000             56             66        198.669          3.275          0.015          10.46           0.00           9.24           0.27           0.60           0.00        551.774           0.04          0.229          0.241          0.246          0.238          0.240          0.261          0.275          0.287          0.296          0.301          4.080          6.812          7.983          7.004          5.467          5.540          0.000          0.721          0.488          0.080          0.006          0.002          5.906         16.396          0.000
           2000             57             67        206.919          3.287          0.016          10.50           0.00           9.25           0.30           0.60           0.00        560.380           0.04          0.240          0.242          0.245          0.238          0.240          0.261          0.275          0.287          0.295          0.301          4.020          6.872          7.994          7.022          5.471          5.539          0.000          0.694          0.465          0.076          0.006          0.002          5.898         14.989          0.000
           2000             58             68        212.469          3.295          0.017          10.52           0.00           9.26           0.31           0.60           0.00        568.348           0.04          0.234          0.241          0.245          0.239          0.240          0.261          0.275          0.286          0.295          0.301          4.031          6.873          7.998          7.038          5.476          5.538          0.000          0.670          0.445          0.073          0.005          0.001          5.894         14.461          0.000
           2000             59             69        216.967          3.302          0.017          10.54           0.00           9.27           0.33           0.61           0.00        575.724           0.04          0.225          0.238          0.244          0.239          0.240          0.261          0.275          0.286          0.295          0.301          4.099          6.834          7.992          7.052          5.481          5.537          0.000          0.649          0.427          0.070          0.005          0.001          5.889         13.755          0.000
           2000             60             70        222.017          3.309          0.018          10.57           0.00           9.28           0.34           0.61           0.00        582.554           0.04          0.221          0.236          0.243          0.239          0.240          0.261          0.275          0.286          0.295          0.300          4.164          6.803          7.981          7.064          5.486          5.536          0.000          0.629          0.410          0.067          0.005          0.001          5.883         13.033          0.000
           2000             61             71        228.517          3.318          0.018          10.58           0.00           9.29           0.35           0.61           0.00        588.883           0.04          0.236          0.237          0.242          0.240          0.241          0.261          0.275          0.286          0.295          0.300          4.114          6.860          7.979          7.073          5.490          5.535          0.000          0.612          0.396          0.065          0.005          0.001          5.880         12.808          0.000
           2000             62             72        235.617          3.328          0.019          10.63           0.00           9.31           0.38           0.61           0.00        594.754           0.04          0.223          0.235          0.241          0.240          0.241          0.261          0.275          0.286          0.295          0.300          4.170          6.829          7.971          7.082          5.495          5.534          0.000          0.598          0.383          0.062          0.005          0.001          5.872         11.900          0.000
           2000             63             73        242.465          3.338          0.020          10.66           0.00           9.32           0.40           0.61           0.00        600.207           0.04          0.219          0.233          0.240          0.240          0.241          0.261          0.275          0.286          0.295          0.300          4.227          6.801          7.960          7.088          5.500          5.533          0.000          0.582          0.370          0.060          0.005          0.001          5.865         11.239          0.000
           2000             64             74        251.215          3.350          0.021          10.70           0.00           9.33           0.42           0.61           0.00        605.299           0.04          0.215          0.231          0.240          0.240          0.241          0.261          0.275          0.286          0.295          0.300          4.283          6.778          7.948          7.094          5.504          5.532          0.000          0.566          0.357          0.058          0.005          0.001          5.858         10.701          0.000
           2000             65             75        260.515          3.364          0.023          10.78           0.00           9.37           0.47           0.61           0.00        610.495           0.04          0.212          0.230          0.239          0.240          0.241          0.261          0.275          0.286          0.295          0.300          4.331          6.762          7.937          7.098          5.509          5.531          0.000          0.547          0.342          0.056          0.004          0.001          5.846          9.616          0.000
           2000             66             76        271.115          3.379          0.025          10.85           0.00           9.40           0.51           0.61           0.00        615.786           0.04          0.209          0.228          0.238          0.240          0.242          0.261          0.275          0.286          0.295          0.300          4.369          6.755          7.929          7.102          5.513          5.530          0.000          0.525          0.325          0.054          0.004          0.001          5.826          8.742          0.000
           2000             67             77        281.465          3.394          0.026          10.92           0.00           9.42           0.55           0.61           0.00        621.167           0.04          0.207          0.226          0.237          0.240          0.242          0.261          0.275          0.286          0.295          0.300          4.407          6.750          7.920          7.104          5.517          5.529          0.000          0.504          0.309          0.051          0.004          0.001          5.810          8.106          0.000
           2000             68             78        286.613          3.401          0.028          10.98           0.00           9.45           0.59           0.61           0.00        626.629           0.04          0.204          0.225          0.236          0.240          0.242          0.261          0.275          0.286          0.295          0.300          4.445          6.744          7.910          7.105          5.521          5.528          0.000          0.485          0.294          0.049          0.004          0.001          5.795          7.606          0.000
           2000             69             79        293.698          3.411          0.030          11.07           0.00           9.48           0.64           0.61           0.00        632.165           0.04          0.202          0.224          0.235          0.240          0.242          0.261          0.275          0.286          0.295          0.300          4.479          6.740          7.900          7.106          5.525          5.528          0.000          0.466          0.280          0.047          0.004          0.001          5.773          6.981          0.000
           2000             70             80        302.198          3.423          0.032          11.14           0.00           9.51           0.69           0.61           0.00        637.768           0.04          0.199          0.222          0.234          0.240          0.242          0.261          0.275          0.286          0.295          0.300          4.515          6.736          7.889          7.105          5.529          5.527          0.000          0.449          0.267          0.045          0.004          0.000          5.755          6.526          0.000
           2000             71             81        312.948          3.439          0.034          11.25           0.00           9.56           0.75           0.61           0.00        643.432           0.04          0.211          0.222          0.233          0.239          0.242          0.261          0.275          0.286          0.295          0.300          4.505          6.763          7.880          7.103          5.533          5.526          0.000          0.432          0.255          0.043          0.004          0.000          5.729          5.968          0.000
